protein	peaks_raw	windows	test_windows	off_chrom	no_region	duplicate	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
STAU2	848	848	174	0	0	0	87	79	19	8	26	13	47	14	40	14	101	26	8	18	5	73	111	7	59	32	51	8	2
EIF3D	818	816	170	2	0	0	67	61	30	31	21	49	26	18	39	24	14	50	9	26	45	79	76	6	47	24	32	19	23
CDC40	1173	1172	166	1	0	0	42	96	43	25	17	47	80	13	71	20	167	35	10	30	11	104	81	6	89	58	61	45	21
TRA2A	921	921	153	0	0	0	79	137	32	23	38	78	31	24	26	36	56	67	9	59	12	38	51	6	26	42	12	13	26
FASTKD2	924	868	143	50	6	0	66	91	29	30	29	52	42	38	42	33	37	36	22	33	15	44	66	18	51	34	31	11	18
TAF15	768	768	136	0	0	0	51	124	26	18	13	56	29	29	18	28	34	19	18	20	11	57	68	5	54	34	15	13	28
PCBP1	941	940	125	0	1	0	53	40	27	13	18	41	41	14	14	22	164	49	5	24	19	50	112	3	101	60	29	23	18
RBM5	641	641	122	0	0	0	36	58	43	18	8	27	14	11	24	18	44	18	3	22	6	68	84	3	46	55	11	16	8
DDX6	493	493	101	0	0	0	44	64	14	19	19	35	41	3	3	19	11	15	19	11	7	38	39	13	16	25	12	18	8
SDAD1	913	913	101	0	0	0	59	206	81	29	3	53	27	16	41	16	38	47	11	28	7	26	37	2	77	44	38	8	19
EXOSC5	741	727	95	14	0	0	21	72	25	7	30	46	37	22	25	37	36	14	20	29	43	37	18	9	66	45	59	18	11
SRSF9	671	666	87	5	0	0	27	72	33	15	12	45	54	28	27	6	34	20	5	33	9	54	63	13	28	48	11	21	8
BCCIP	557	539	79	17	1	0	13	22	15	3	46	29	41	10	27	39	28	12	16	22	26	27	17	8	83	20	23	7	5
SRSF7	434	433	74	0	1	0	27	30	20	12	9	21	53	7	7	13	27	17	8	10	1	34	59	0	18	35	16	4	5
HNRNPUL1	467	467	73	0	0	0	10	35	15	5	1	17	21	15	16	16	129	2	7	12	3	47	56	3	17	25	7	4	4
FTO	549	544	72	1	4	0	26	43	9	9	10	25	21	8	24	12	103	27	7	16	5	34	27	6	39	32	39	16	6
NSUN2	485	484	62	0	1	0	21	31	19	21	15	21	30	38	20	5	34	13	11	17	20	36	48	14	40	6	9	2	13
HNRNPU	312	309	56	3	0	0	15	37	8	1	5	18	8	10	4	11	45	1	5	8	3	30	28	1	12	27	1	8	23
NOL12	261	260	49	1	0	0	31	11	7	6	7	14	8	7	31	4	10	6	0	5	0	14	22	0	18	18	37	3	1
SAFB	282	282	45	0	0	0	22	32	13	5	5	13	28	16	2	12	31	8	15	3	4	11	16	1	5	18	5	7	10
NIP7	293	292	44	1	0	0	37	38	14	2	6	14	6	4	15	3	21	6	2	8	13	4	33	7	9	23	19	1	7
SUPV3L1	254	229	42	25	0	0	17	15	10	3	11	7	12	3	11	3	8	7	1	9	0	22	34	0	20	24	3	5	4
WDR43	192	192	40	0	0	0	26	18	8	3	1	6	7	3	16	2	8	5	0	14	2	12	23	0	5	17	8	1	7
SMNDC1	319	319	35	0	0	0	16	41	25	13	7	4	21	4	7	8	28	33	0	26	4	11	30	12	9	8	5	0	7
LARP7	263	262	34	1	0	0	23	35	6	7	15	14	5	5	19	2	26	6	7	20	6	9	22	4	7	11	6	1	6
DDX52	155	139	21	15	1	0	9	4	19	4	2	5	9	5	2	3	7	8	1	1	1	9	15	0	12	3	11	3	6
TROVE2	161	158	20	3	0	0	13	9	8	3	2	13	11	2	17	1	13	8	1	10	2	6	10	3	6	5	8	0	7
XRCC6	99	99	18	0	0	0	8	12	5	0	4	5	6	6	5	3	3	4	2	6	1	7	10	0	0	1	6	1	4
DHX30	211	103	15	100	8	0	14	6	3	3	6	1	3	5	0	0	28	3	0	7	0	1	6	0	6	2	4	4	1
POLR2G	52	52	10	0	0	0	2	6	2	0	1	2	4	0	0	0	0	1	2	4	0	8	5	0	1	2	9	3	0
SSB	92	91	10	0	1	0	2	6	3	0	5	0	0	2	13	0	7	1	1	15	1	8	11	0	1	0	15	0	0
TBRG4	126	19	4	107	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	2
UTP18	47	47	3	0	0	0	1	5	1	0	1	1	2	1	6	0	5	0	0	1	1	2	10	0	0	5	5	0	0
HNRNPA1	87	87	0	0	0	0	0	8	8	0	4	2	2	4	0	0	23	3	0	5	0	0	3	0	1	4	2	0	18
