protein	peaks_raw	windows	test_windows	off_chrom	no_region	duplicate	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
APEX1	151	149	24	2	0	0	12	12	4	5	0	8	7	11	6	3	14	4	10	1	9	9	14	0	16	0	3	1	0
UTP18	133	133	24	0	0	0	16	7	3	5	3	1	6	0	9	2	18	5	1	0	2	6	15	0	7	3	19	1	4
WRN	121	110	24	8	3	0	11	4	2	2	6	2	5	0	3	9	15	4	3	2	6	4	10	2	8	3	5	1	3
SSB	180	177	22	0	3	0	10	4	5	1	20	11	5	4	15	0	15	3	3	22	4	12	16	0	9	4	9	2	3
EEF2	166	162	20	3	1	0	10	4	14	6	8	10	6	4	5	9	10	9	0	5	7	1	23	2	26	0	2	0	1
DDX42	110	110	19	0	0	0	10	7	4	6	2	10	5	0	1	3	7	2	0	0	6	6	13	0	11	5	5	3	4
SLBP	161	155	19	4	2	0	18	0	0	0	1	120	0	0	1	0	8	1	0	0	0	1	0	2	0	0	3	0	0
WDR43	139	132	17	7	0	0	8	7	3	3	2	4	6	0	9	2	29	2	1	4	0	7	17	0	8	6	8	0	6
SDAD1	60	60	11	0	0	0	5	2	1	0	1	3	1	0	1	1	5	0	0	0	1	5	3	0	8	2	18	0	3
ABCF1	49	49	7	0	0	0	5	3	0	0	5	2	2	3	3	1	2	1	1	0	0	1	5	0	5	0	8	1	1
DDX21	73	70	5	3	0	0	3	2	1	1	2	4	2	2	5	0	16	3	0	0	1	2	3	0	5	4	11	1	2
NPM1	45	45	5	0	0	0	1	11	0	3	0	0	2	0	2	4	4	3	1	1	1	0	4	0	2	2	4	0	0
UTP3	16	14	5	2	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	6	0	0
SF3B1	35	35	4	0	0	0	1	2	0	0	0	4	0	2	0	0	6	0	0	0	0	3	1	0	4	0	5	7	0
GNL3	42	32	3	10	0	0	1	0	3	1	0	2	2	0	2	2	2	3	2	0	3	0	3	0	0	0	6	0	0
SUPV3L1	59	37	3	22	0	0	2	0	1	1	6	0	0	4	0	0	15	0	0	0	0	1	0	0	5	0	1	1	0
RPS10	44	44	2	0	0	0	0	3	0	0	2	1	0	0	4	0	3	0	3	0	2	2	3	0	19	0	2	0	0
AARS	49	32	1	16	1	0	0	2	1	0	0	1	0	4	0	0	7	0	3	1	0	1	0	0	8	0	4	0	0
RPS11	48	42	1	6	0	0	0	2	3	0	2	0	0	1	0	0	0	2	1	2	0	1	3	0	1	1	18	1	4
PUS1	36	17	0	19	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	10	2	0
SBDS	21	21	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	1	0	1	0	2	2	10	0	0
WDR3	28	28	0	0	0	0	0	0	1	0	0	1	2	1	0	0	2	0	0	0	0	0	6	0	1	0	12	0	2
